ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents   label   detailed-label,Tunnel,Traffic_Labeled,Malware
2018-12-22 09:49:03.445483008,CU9j5squWWBC6viqk,192.168.1.198,54103,192.168.1.1,53,udp,dns,,,,S0,,,0,D,1,67,0,0,-   Benign   -,-,Benign, -
2018-12-21 18:09:45.566680832,C7OZuZ2pJ0YC26wiNh,192.168.1.198,36097,19.255.73.38,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 07:51:33.674281984,CZW30U3bBjOsTnPBTj,192.168.1.198,36097,103.243.53.209,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 23:53:03.981821184,ChQiGm4zcQJIxugPT1,192.168.1.198,36097,163.193.158.149,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 03:14:53.391667968,CciJgZ1nWB6SF5g2hb,192.168.1.198,123,89.221.214.130,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 00:14:24.397959936,CmUYum38ozjvzWbkd4,192.168.1.198,55482,192.168.1.1,53,udp,dns,0 days 00:00:05.005135,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 05:50:41.789319936,C4lk3S1pkOtkJlldzj,192.168.1.198,36097,116.80.62.33,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 14:22:05.316389120,CPbTpOwLD1Uv714oe,192.168.1.198,36097,20.191.206.224,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 14:52:43.506298112,C2Udho4ILL2b7TSpUj,192.168.1.198,36097,217.241.231.171,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 12:33:41.259344128,Cq2AJDHzZOSZ6m9S2,192.168.1.198,36097,117.47.198.183,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 16:06:14.701692160,CYSABO1noFHEChKZab,192.168.1.198,36097,96.20.58.88,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 15:08:10.603992832,C4U0xn1YJbSFPwKa39,192.168.1.198,36097,41.49.1.205,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 12:37:34.302388992,CiY6g2VK1p859ZNM9,192.168.1.198,36097,99.163.96.168,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 02:55:56.698276096,CUZ6dw2SODnfYxFbc7,192.168.1.198,36097,183.103.192.161,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 11:46:47.398038016,CFCtuKp5gEL9BjeI6,192.168.1.198,38566,192.168.1.1,53,udp,dns,0 days 00:00:05.005149,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 01:51:30.510596096,C9GrYz3doomo1h8Uuj,192.168.1.198,36097,138.10.21.111,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 05:01:58.150116864,CHy50R2wxbR5qiicF2,192.168.1.198,36097,105.247.44.225,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 13:58:33.088960000,CDAPHp17g3afEl4zO1,192.168.1.198,36097,148.79.192.248,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 17:46:33.387450880,CNUSv12xOx8oVwPl3d,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001496,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 19:01:15.384933888,ChtA782UM5biT5rZ6c,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.051969,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-22 09:41:55.424876032,CBHbS53iVjDh9eYDPa,192.168.1.198,59254,192.168.1.1,53,udp,dns,0 days 00:00:05.007644,78,103,SF,,,0,Dd,2,134,1,131,-   Benign   -,-,Benign, -
2018-12-21 20:52:31.476449024,Cg8Lrl1hAOyTDeAl6k,141.189.207.253,11,192.168.1.198,0,icmp,,,,,OTH,,,0,,1,56,0,0,-   Benign   -,-,Benign, -
2018-12-22 09:38:37.438311936,CeADSs18JATpJU4v7l,83.162.235.243,3,192.168.1.198,13,icmp,,,,,OTH,,,0,,1,56,0,0,-   Benign   -,-,Benign, -
2018-12-21 16:58:27.827923968,C5SUwBatf5AC85qlg,192.168.1.198,36097,41.193.183.105,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 19:55:38.394764800,CwtFFM1sGflff6MZsi,192.168.1.198,56300,192.168.1.1,53,udp,dns,0 days 00:00:00.002736,39,103,SF,,,0,Dd,1,67,1,131,-   Benign   -,-,Benign, -
2018-12-22 05:52:29.387116800,Cvv19n1SCl06FcEuDh,192.168.1.198,123,5.1.56.123,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 02:47:26.787291904,CCKYTa3QuqqgBgIxai,192.168.1.198,36097,54.238.212.130,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 16:56:13.471755008,CTgLygUlqWTPOpX0a,192.168.1.198,36097,213.34.111.119,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 18:38:21.304486912,CzjGQhxV11K2oE5Aj,192.168.1.198,36097,138.13.62.245,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 10:37:01.075268096,ChWbZ93oNZZ8aC7So1,192.168.1.198,36097,82.20.177.86,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 03:58:37.313646080,CADFtrfXicT8EcdG3,192.168.1.198,36097,150.223.1.34,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:50:27.931414016,CVz1fr1XnXCUeOibpd,93.194.79.183,3,192.168.1.198,13,icmp,,,,,OTH,,,0,,1,56,0,0,-   Benign   -,-,Benign, -
2018-12-21 14:22:38.685079040,C2vb9c4JiR46TGsgqd,192.168.1.198,36097,37.4.175.153,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 12:37:05.388974848,ChS6pz1ewKAqbZbKuf,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001497,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-22 08:45:29.727073024,CybGWZ1vnwtD6jtTf2,192.168.1.198,36097,142.63.105.43,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 14:53:30.012310016,CcYBVs1j6dHDAudQfj,192.168.1.198,36097,165.142.60.87,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 14:10:07.606828032,CeK9lU154MfP4pi4Dl,192.168.1.198,36097,187.190.93.128,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 16:58:19.747283968,ChcPwH2qxcSiSvnj4d,192.168.1.198,36097,52.4.178.84,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 16:42:48.338125056,CAyE5J14I0X580ExTg,192.168.1.198,36097,65.237.218.198,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 12:37:07.073512192,CDyRtv2fZMO20u3oj4,192.168.1.198,36097,211.73.161.185,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 17:18:08.703737856,ChA39l4IVIEjJ3HxB3,192.168.1.198,36097,84.118.35.225,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 15:44:07.387193856,CgkkTKyE7B6XzG5lk,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001482,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 16:07:08.386828800,C28fkc3WZA6aNsU5S7,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001497,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 22:16:42.690763008,CzQgXk3OmTcYB5qGqf,133.33.148.13,3,192.168.1.198,0,icmp,,,,,OTH,,,0,,1,68,0,0,-   Benign   -,-,Benign, -
2018-12-22 11:49:12.554620928,CQcq7GtITtzghpMe3,192.168.1.198,53824,192.168.1.1,53,udp,dns,0 days 00:00:05.005150,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 02:53:53.576681984,Cda02r4d1NbuJeR3Dc,192.168.1.198,123,147.231.100.5,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 09:33:58.389313024,C7raoPwjRI0YXuimh,192.168.1.198,36097,135.32.151.100,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 01:06:57.977334016,CBhFM94s58s4uw6uX,192.168.1.198,36097,189.246.21.71,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 19:24:11.382792960,CIO4BE4rOMfjGFQMll,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001497,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 17:39:47.387747072,CKJXU03PLW2TGv37Vj,192.168.1.198,123,195.113.144.201,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 13:10:43.752151040,Cp3lYpgew6BAjgL13,185.56.25.1,3,192.168.1.198,1,icmp,,,,,OTH,,,0,,1,56,0,0,-   Benign   -,-,Benign, -
2018-12-22 09:37:48.438740992,C0uEwK2xtkHC2L8SX6,192.168.1.198,40313,192.168.1.1,53,udp,dns,0 days 00:00:05.007411,78,103,SF,,,0,Dd,2,134,1,131,-   Benign   -,-,Benign, -
2018-12-21 15:39:12.815435008,CdJJMbEw7HjIMXSMf,192.168.1.198,36097,45.193.95.252,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 12:24:21.386213120,CfGwHA2tdJt5DnSMF,192.168.1.198,123,5.1.56.123,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 15:50:29.756673024,Cyy5Dy2Ed6kLlJBA6k,192.168.1.198,36097,209.11.180.219,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 20:53:29.387244032,CtCmK91sp88eW9Uaff,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.116933,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-22 07:07:36.016889088,CsmmzkdKWYFRlepbk,192.168.1.198,36097,156.210.55.54,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 00:02:43.385457920,Ct0Yi12MtiIoAuMvXd,192.168.1.198,123,94.124.107.190,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 12:28:49.387218944,Clw2K3ervFcbXZzKj,192.168.1.198,59624,192.168.1.1,53,udp,dns,0 days 00:00:05.005147,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-21 22:39:23.964175104,CHTm2g1xcnOmDvW2S2,192.168.1.198,36097,150.51.91.213,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:10:49.409122048,CBpGCw2pz730TBO8p1,192.168.1.198,57381,192.168.1.1,53,udp,dns,0 days 00:00:05.005368,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 00:36:23.387468032,CpnfbY3OkDLpRrRgc,192.168.1.198,123,46.28.109.26,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 18:26:58.517710848,CyMlZi4LVUO9LH6E2b,192.168.1.198,36097,36.150.91.60,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 08:08:02.053766912,CnFUXv4XV2bTavlDUg,192.168.1.198,36097,109.245.187.103,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 12:33:13.385874944,C4uWBf1RaaGNjTUpje,192.168.1.198,123,81.200.57.13,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 15:20:26.108637184,C3AqXd4LDVe8kZXoU,192.168.1.198,36097,166.105.205.166,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 07:39:43.427339008,CbtVli1syzI27OV3wb,192.168.1.198,36097,151.245.126.43,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:11:30.387059968,CEIi92151pWTFl5M91,192.168.1.198,123,81.2.254.32,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 11:26:15.718718976,C7RmCM3kwSBFlsLaPd,192.168.1.198,36097,31.123.187.117,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:38:57.383625984,CaBFiT1E3eRiAHVYV2,192.168.1.198,123,83.167.252.118,123,udp,,0 days 00:01:10.035004,384,336,SF,,,0,Dd,8,608,7,532,-   Benign   -,-,Benign, -
2018-12-22 10:01:09.380822016,Cf32me2A2lAtdeXPga,192.168.1.198,36097,81.173.105.106,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 19:21:06.843771904,CNl4Uw4L4m0jqhbmI3,169.1.21.221,3,192.168.1.198,1,icmp,,,,,OTH,,,0,,1,68,0,0,-   Benign   -,-,Benign, -
2018-12-21 20:15:07.381192960,C0xGSs17eSMFTHoG5k,192.168.1.198,36097,143.104.74.179,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 12:10:48.094695168,CevEM1hlKFIHbVpS6,192.168.1.198,36097,202.151.242.62,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 15:21:43.388859904,CQ29AkgyBxNc68PSb,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001478,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 21:19:01.438875904,Cqj6Qm3cvSNfY5s1ad,192.168.1.198,49229,192.168.1.1,53,udp,dns,0 days 00:00:05.005136,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 12:22:36.386061056,CoG4CC2tbuVASNwQef,192.168.1.198,123,217.30.75.147,123,udp,,0 days 00:00:00.002496,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 17:45:27.387438080,CBJMQ934WNYj5PlB8a,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.089209,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 20:35:57.384459008,C6zkLs2Z4Zg6NeN7Bj,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.001746,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-22 01:39:37.359014912,C6hkj41IwWRZtScP0l,192.168.1.198,36097,97.88.173.29,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 13:25:14.385360128,CfmXab1XCncZRohiEd,192.168.1.198,123,89.221.210.188,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 21:41:06.572349952,C07Wrn1euXqqaZJqcb,192.168.1.198,123,194.182.80.233,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-21 17:26:39.253010944,ClpKza2qDmuBern7Zc,192.168.1.198,36097,82.189.94.214,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 15:45:02.386790912,CFB9XjMsa7VNQrxl3,192.168.1.198,36097,102.5.38.193,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:38:56.437668096,Cq9lYd1KCih1KcGFvc,192.168.1.198,37090,192.168.1.1,53,udp,dns,0 days 00:00:05.003150,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 02:35:05.985101056,Cj4SED1ijhL2PlWXfj,192.168.1.198,36097,73.108.28.90,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:28:09.395526912,CovAP6CAmN6UUpBKd,192.168.1.198,38270,192.168.1.1,53,udp,dns,0 days 00:00:05.005123,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 11:39:23.413606912,CafVLk2ue0bQV0FpEi,192.168.1.198,123,81.2.254.224,123,udp,,0 days 00:00:04.973158,96,0,S0,,,0,D,2,152,0,0,-   Benign   -,-,Benign, -
2018-12-22 02:56:10.386984192,C71hr53KCeqzAvIJD4,192.168.1.198,123,193.150.14.191,123,udp,,0 days 00:01:12.025952,384,384,SF,,,0,Dd,8,608,8,608,-   Benign   -,-,Benign, -
2018-12-22 11:52:44.387521024,CQVjV64uBPiRZDCS6a,192.168.1.198,42895,192.168.1.1,53,udp,dns,0 days 00:00:05.005367,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 06:35:01.386094080,CCh1G7BaF9u0m8Y89,192.168.1.198,123,82.113.53.40,123,udp,,0 days 00:00:00.003982,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 16:41:30.294771968,C6hw2juWzmFvn6f3i,192.168.1.198,36097,67.199.191.252,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 02:38:41.248646144,CEDVLWRs8DOPQKnwa,192.168.1.198,36097,102.173.116.122,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 11:51:11.433938944,CgXwmJ3IN5V3bYN1B9,192.168.1.198,53092,192.168.1.1,53,udp,dns,0 days 00:00:05.002637,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 02:42:52.911421952,ChUN681ZMqZafh2Uth,192.168.1.198,36097,108.1.84.21,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 09:05:56.387518976,CgGnV82AD2sTsm0Pb4,192.168.1.198,123,5.1.56.123,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 04:13:50.802427904,CN5TM72ndt9IDVMYO4,192.168.1.198,36097,132.55.220.176,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 21:32:30.395140864,CLvLCOlFKzMnGFLxi,192.168.1.198,60823,192.168.1.1,53,udp,dns,0 days 00:00:05.005142,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-22 04:41:18.053785088,Chaog24vygY10HOve3,192.168.1.198,36097,48.6.124.24,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 07:09:50.387075840,CNV66yYLIJr793FNg,192.168.1.198,123,82.113.53.40,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
2018-12-22 02:18:55.743719168,CjvaeknnP728CRwF6,192.168.1.198,36097,23.72.227.230,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-21 13:37:53.572393984,Co9YA541XESz2QfGJe,192.168.1.198,36097,150.10.221.51,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 01:35:59.969840128,CCnnDW3zIJL4dUq7kc,192.168.1.198,36097,96.33.24.174,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 11:32:31.455704064,CcXAvP192GP8PrYSBh,192.168.1.198,123,78.108.102.237,123,udp,,0 days 00:00:00.003248,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-22 11:52:11.497231872,Cp50su1Lk4iXfTwJhh,192.168.1.198,45551,192.168.1.1,53,udp,dns,0 days 00:00:05.003402,78,0,S0,,,0,D,2,134,0,0,-   Benign   -,-,Benign, -
2018-12-21 20:26:08.384259840,CPxP6G37qgRe3Ri7zf,192.168.1.198,123,147.231.100.5,123,udp,,0 days 00:00:00.009493,48,48,SF,,,0,Dd,1,76,1,76,-   Benign   -,-,Benign, -
2018-12-21 22:05:06.270344960,CLgydQPPTmJEy868i,192.168.1.198,36097,79.245.93.254,37215,tcp,,,,,S0,,,0,S,1,40,0,0,-   Malicious   Okiru,-, Malicious, Okiru
2018-12-22 02:34:14.386508032,CNUKNy11Dq7l3uR6O1,192.168.1.198,123,147.251.48.140,123,udp,,,,,S0,,,0,D,1,76,0,0,-   Benign   -,-,Benign, -
